Fecha,NivelEmbalse
2024-01-13,11469284142.0
2024-01-14,11397425610.0
2024-01-15,11347837198.0
2024-01-16,11315290928.0
2024-01-17,11244267738.0
2024-01-18,11163042368.0
2024-01-19,11064074730.0
2024-01-20,10957223258.0
2024-01-21,10846700590.0
2024-01-22,10765796734.0
2024-01-23,10693589224.0
2024-01-24,10612064848.0
2024-01-25,10520763920.0
2024-01-26,10427611004.0
2024-01-27,10337288570.0
2024-01-28,10230898562.0
2024-01-29,10127616565.0
2024-01-30,10034198409.0
2024-01-31,9911849706.0
2024-02-01,9796904664.0
2024-02-02,9684670438.0
2024-02-03,9603886882.0
2024-02-04,9547047168.0
2024-02-05,9538748142.0
2024-02-06,9541810176.0
2024-02-07,9499251984.0
2024-02-08,9446859330.0
2024-02-09,9395419856.0
2024-02-10,9320826896.0
2024-02-11,9233687714.0
2024-02-12,9170551394.0
2024-02-13,9104710578.0
2024-02-14,9008699476.0
2024-02-15,8910688932.0
2024-02-16,8817928108.0
2024-02-17,8734589490.0
2024-02-18,8651916980.0
2024-02-19,8566692954.0
2024-02-20,8505949580.0
2024-02-21,8398835254.0
2024-02-22,8295161886.0
2024-02-23,8206650800.0
2024-02-24,8141838376.0
2024-02-25,8061835876.0
2024-02-26,7992989788.0
2024-02-27,7949506236.0
2024-02-28,7866628542.0
2024-02-29,7784996558.0
2024-03-01,7693937142.0
2024-03-02,7604355248.0
2024-03-03,7514756132.0
2024-03-04,7424266018.0
2024-03-05,7361018332.0
2024-03-06,7267010122.0
2024-03-07,7180144430.0
2024-03-08,7097042294.0
2024-03-09,7011673570.0
2024-03-10,6926567797.0
2024-03-11,6869936982.0
2024-03-12,6821200606.0
2024-03-13,6770782142.0
2024-03-14,6701125460.0
2024-03-15,6601670085.0
2024-03-16,6538696481.0
2024-03-17,6441770980.0
2024-03-18,6358008234.0
2024-03-19,6299461562.0
2024-03-20,6204145104.0
2024-03-21,6132573522.0
2024-03-22,6046836164.0
2024-03-23,5978091262.0
2024-03-24,5900956568.0
2024-03-25,5823070618.0
2024-03-26,5755219324.0
2024-03-27,5701068066.0
2024-03-28,5633230834.0
2024-03-29,5585779698.0
2024-03-30,5555901810.0
2024-03-31,5530485498.0
2024-04-01,5488067698.0
2024-04-02,5469609812.0
2024-04-03,5448700652.0
2024-04-04,5459100874.0
2024-04-05,5452855470.0
2024-04-06,5492817704.0
2024-04-07,5502712758.0
2024-04-08,5505756478.0
2024-04-09,5490139990.0
2024-04-10,5463151880.0
2024-04-11,5427071892.0
2024-04-12,5382726806.0
2024-04-13,5317085457.0
2024-04-14,5248288633.0
2024-04-15,5201420271.0
2024-04-16,5170170107.0
