Fecha,Demanda_kWh_0-7,Demanda_kWh_7-17,Demanda_kWh_17-23,Demanda_kWh_Dia
2022-08-13,53263987.97,90843766.49,63641754.37,207749508.83
2022-08-14,49987702.36,79095123.81,58070327.0,187153153.17
2022-08-15,47812065.03,81706435.99,60467079.84,189985580.86
2022-08-16,51519569.07,95058795.6,66359393.65,212937758.32
2022-08-17,53674850.86,98353414.87,69285785.79,221314051.52
2022-08-18,55723283.74,99689957.13,69635028.23,225048269.1
2022-08-19,56217915.01,101181384.6,70506474.44,227905774.05
2022-08-20,55809394.27,94735994.42999999,64732970.31,215278359.01
2022-08-21,49823010.31,79473177.25,60395337.05,189691524.60999998
2022-08-22,51873254.55,95579163.93,66322309.65,213774728.13
2022-08-23,53219793.51,95916920.54,67061268.21,216197982.26
2022-08-24,53959156.12,97621181.65,68714837.21,220295174.98
2022-08-25,55177357.1,97405145.92999999,68250103.61,220832606.64
2022-08-26,54982905.66,97381677.66,67037214.6,219401797.92
2022-08-27,53157423.19,93332309.01,64521090.44,211010822.64
2022-08-28,50694741.31,81161975.31,60327552.89,192184269.51
2022-08-29,51000306.46,94191322.48,66002459.11,211194088.05
2022-08-30,53247916.9,97290392.53,68657243.34,219195552.77
2022-08-31,55495967.43,98211592.77,67378602.38,221086162.58
2022-09-01,54027807.2,96218835.79,67257327.3,217503970.29
2022-09-02,54191574.5,97715082.2,67925960.35,219832617.05
2022-09-03,53403023.58,93594252.35,64569427.9,211566703.83
2022-09-04,50226293.05,80968761.1,61248423.23,192443477.38
2022-09-05,52502426.54,97623361.45,68008059.31,218133847.3
2022-09-06,55120490.64,98469254.71000001,68985083.03,222574828.38
2022-09-07,55830570.839999996,99228768.12,67888442.04,222947781.0
2022-09-08,54558373.65,98415955.5,67843779.73,220818108.88
2022-09-09,54577835.92,98817380.62,67991848.33,221387064.87
2022-09-10,54700621.08,95228795.8,65110970.89,215040387.77
2022-09-11,49983554.09,79680765.53,61336882.12,191001201.74
2022-09-12,52788131.52,96256787.11,65867985.910000004,214912904.54
2022-09-13,52760573.64,96082230.84,67313992.41,216156796.89000002
2022-09-14,54197570.45,97496538.58,67978779.39,219672888.42
2022-09-15,55084999.78,98662386.41,68859436.98,222606823.17
2022-09-16,55364760.8,98222837.41,67342242.1,220929840.31
2022-09-17,53447656.26,92143020.52,63734812.89,209325489.67
2022-09-18,49874353.87,79144678.32,59019314.71,188038346.9
2022-09-19,50536455.35,92929962.03,65074417.51,208540834.89
2022-09-20,52113775.15,94215434.69,65849260.53,212178470.37
2022-09-21,52493548.41,94934134.64,66213623.85,213641306.9
2022-09-22,52923287.93,94279407.92,66067383.91,213270079.76
2022-09-23,52907942.78,95630421.36,66721463.32,215259827.46
2022-09-24,52276996.69,91257403.33,62551454.99,206085855.01
2022-09-25,48096540.82,77341657.73,59721876.27,185160074.82
2022-09-26,50971546.839999996,96558047.64,67716783.92999999,215246378.41
2022-09-27,53860481.88,96424407.42,67811550.05,218096439.35
2022-09-28,53564503.15,96546291.8,66739943.06,216850738.01
2022-09-29,53392831.96,95778553.96,66635381.82,215806767.74
2022-09-30,53424552.76,95638055.56,65410499.38,214473107.7
2022-10-01,51125755.61,88224155.09,61948782.33,201298693.03
2022-10-02,47872703.95,79073570.56,60325158.21,187271432.72
2022-10-03,52166317.83,98669161.61,69622749.34,220458228.78
2022-10-04,55735204.5,100093302.78,68700896.57000001,224529403.85
2022-10-05,54821755.27,96391075.72,67309455.97,218522286.96
2022-10-06,54174531.85,96638024.93,66637184.59,217449741.37
2022-10-07,53319682.27,94657010.99,65626197.43,213602890.69
2022-10-08,51925055.57,90509197.44,62215355.25,204649608.26
2022-10-09,48659176.76,78380581.03,59651352.27,186691110.06
2022-10-10,50791778.24,97295592.69,67361600.65,215448971.58
2022-10-11,53898692.2,99482514.11,68501420.17,221882626.48
2022-10-12,54361918.83,99301487.17999999,67293480.2,220956886.21
2022-10-13,53397566.24,96891755.16,66997225.660000004,217286547.06
2022-10-14,53130594.71,97355253.69,67456015.33,217941863.73
2022-10-15,53446728.94,91833484.16,64366725.23,209646938.33
2022-10-16,50008674.8,78288157.35,59189135.019999996,187485967.17
2022-10-17,48423132.83,80867263.46,61129312.43,190419708.72
2022-10-18,51810129.06,96606713.01,67771296.0,216188138.07
2022-10-19,53919516.39,96437968.34,67805846.63,218163331.36
2022-10-20,54676814.69,97415845.18,67721791.39,219814451.26
2022-10-21,54617130.27,98143431.06,67730869.95,220491431.28
2022-10-22,53577491.1,93216219.1,64458177.56,211251887.76
2022-10-23,49495260.480000004,80546901.94,60926030.92,190968193.34
2022-10-24,52117669.14,96030717.86,66838403.97,214986790.97
